,protocol,value,loss
89,MPTCP,0.04,0.9-0.9
90,MPTCP,0,0.9-0.9
91,MPTCP,0,0.9-0.9
92,MPTCP,0,0.9-0.9
93,MPTCP,0,0.9-0.9
94,MPTCP,0,0.9-0.9
95,MPTCP,0,0.9-0.9
96,MPTCP,0,0.9-0.9
97,MPTCP,0,0.9-0.9
98,MPTCP,0.425,0.9-1.8
99,MPTCP,0.464,0.9-1.8
100,MPTCP,0.486,0.9-1.8
101,MPTCP,0.455,0.9-1.8
102,MPTCP,0.453,0.9-1.8
103,MPTCP,0.314,0.9-1.8
104,MPTCP,0.478,0.9-1.8
105,MPTCP,0.453,0.9-1.8
106,MPTCP,0.434,0.9-1.8
107,MPTCP,0.446,0.9-1.8
108,MPTCP,0.515,0.9-3.6
109,MPTCP,0.474,0.9-3.6
110,MPTCP,0.483,0.9-3.6
111,MPTCP,0.489,0.9-3.6
112,MPTCP,0.475,0.9-3.6
113,MPTCP,0.468,0.9-3.6
114,MPTCP,0.45,0.9-3.6
115,MPTCP,0.473,0.9-3.6
116,MPTCP,0.471,0.9-3.6
117,MPTCP,0.47,0.9-3.6
118,MPTCP,0.691,1.8-1.8
119,MPTCP,0.78,1.8-1.8
120,MPTCP,0.768,1.8-1.8
121,MPTCP,0.757,1.8-1.8
122,MPTCP,0.775,1.8-1.8
123,MPTCP,0.757,1.8-1.8
124,MPTCP,0.767,1.8-1.8
125,MPTCP,0.76,1.8-1.8
126,MPTCP,0.766,1.8-1.8
127,MPTCP,0.757,1.8-1.8
128,MPTCP,0.806,1.8-3.6
129,MPTCP,0.832,1.8-3.6
130,MPTCP,0.83,1.8-3.6
131,MPTCP,0.83,1.8-3.6
132,MPTCP,0.839,1.8-3.6
133,MPTCP,0.828,1.8-3.6
134,MPTCP,0.83,1.8-3.6
135,MPTCP,0.832,1.8-3.6
136,MPTCP,0.828,1.8-3.6
137,MPTCP,0.822,1.8-3.6
138,MPTCP,0.745,3.6-1.8
139,MPTCP,0.781,3.6-1.8
140,MPTCP,0.779,3.6-1.8
141,MPTCP,0.779,3.6-1.8
142,MPTCP,0.791,3.6-1.8
143,MPTCP,0.791,3.6-1.8
144,MPTCP,0.788,3.6-1.8
145,MPTCP,0.787,3.6-1.8
146,MPTCP,0.779,3.6-1.8
147,MPTCP,0.789,3.6-1.8
148,MPTCP,0.859,3.6-3.6
149,MPTCP,0.857,3.6-3.6
150,MPTCP,0.861,3.6-3.6
151,MPTCP,0.861,3.6-3.6
152,MPTCP,0.861,3.6-3.6
153,MPTCP,0.863,3.6-3.6
154,MPTCP,0.861,3.6-3.6
155,MPTCP,0.861,3.6-3.6
156,MPTCP,0.862,3.6-3.6
157,MPTCP,0.867,3.6-3.6
158,VICTOR,0,0.45-0.45
159,VICTOR,0,0.45-0.45
160,VICTOR,0,0.45-0.45
161,VICTOR,0,0.45-0.45
162,VICTOR,0,0.45-0.45
163,VICTOR,0,0.45-0.45
164,VICTOR,0,0.45-0.45
165,VICTOR,0,0.45-0.45
166,VICTOR,0,0.45-0.45
167,VICTOR,0,0.45-0.45
168,VICTOR,0,0.9-0.9
169,VICTOR,0,0.9-0.9
170,VICTOR,0,0.9-0.9
171,VICTOR,0,0.9-0.9
172,VICTOR,0,0.9-0.9
173,VICTOR,0,0.9-0.9
174,VICTOR,0,0.9-0.9
175,VICTOR,0,0.9-0.9
176,VICTOR,0,0.9-0.9
177,VICTOR,0,0.9-0.9
178,VICTOR,0.018,0.9-1.8
179,VICTOR,0,0.9-1.8
180,VICTOR,0,0.9-1.8
181,VICTOR,0,0.9-1.8
182,VICTOR,0.009,0.9-1.8
183,VICTOR,0,0.9-1.8
184,VICTOR,0,0.9-1.8
185,VICTOR,0.021,0.9-1.8
186,VICTOR,0.002,0.9-1.8
187,VICTOR,0,0.9-1.8
188,VICTOR,0.05,0.9-3.6
189,VICTOR,0.039,0.9-3.6
190,VICTOR,0.055,0.9-3.6
191,VICTOR,0.048,0.9-3.6
192,VICTOR,0.046,0.9-3.6
193,VICTOR,0.044,0.9-3.6
194,VICTOR,0.085,0.9-3.6
195,VICTOR,0.032,0.9-3.6
196,VICTOR,0.021,0.9-3.6
197,VICTOR,0.047,0.9-3.6
198,VICTOR,0.09,1.8-1.8
199,VICTOR,0.155,1.8-1.8
200,VICTOR,0.098,1.8-1.8
201,VICTOR,0.094,1.8-1.8
202,VICTOR,0.133,1.8-1.8
203,VICTOR,0.099,1.8-1.8
204,VICTOR,0.135,1.8-1.8
205,VICTOR,0.165,1.8-1.8
206,VICTOR,0.103,1.8-1.8
207,VICTOR,0.13,1.8-1.8
208,VICTOR,0.344,1.8-3.6
209,VICTOR,0.363,1.8-3.6
210,VICTOR,0.342,1.8-3.6
211,VICTOR,0.342,1.8-3.6
212,VICTOR,0.365,1.8-3.6
213,VICTOR,0.385,1.8-3.6
214,VICTOR,0.33,1.8-3.6
215,VICTOR,0.4,1.8-3.6
216,VICTOR,0.371,1.8-3.6
217,VICTOR,0.357,1.8-3.6
218,VICTOR,0.248,3.6-1.8
219,VICTOR,0.29,3.6-1.8
220,VICTOR,0.281,3.6-1.8
221,VICTOR,0.275,3.6-1.8
222,VICTOR,0.281,3.6-1.8
223,VICTOR,0.234,3.6-1.8
224,VICTOR,0.276,3.6-1.8
225,VICTOR,0.255,3.6-1.8
226,VICTOR,0.307,3.6-1.8
227,VICTOR,0.266,3.6-1.8
228,VICTOR,0.459,3.6-3.6
229,VICTOR,0.479,3.6-3.6
230,VICTOR,0.456,3.6-3.6
231,VICTOR,0.467,3.6-3.6
232,VICTOR,0.467,3.6-3.6
233,VICTOR,0.493,3.6-3.6
234,VICTOR,0.467,3.6-3.6
235,VICTOR,0.476,3.6-3.6
236,VICTOR,0.495,3.6-3.6
237,VICTOR,0.465,3.6-3.6
